id	barangay
0	Bacungan
1	Bagacay
2	Banabahin Ibaba
3	Banabahin Ilaya
4	Bayabas
5	Bebito
6	Bigajo
7	Binahian A
8	Binahian B
9	Binahian C
10	Bocboc
11	Buenavista
12	Burgos
13	Burgos (Poblacion)
14	Buyacanin
15	Cagacag
16	Calantipayan
17	Canda Ibaba
18	Canda Ilaya
19	Cawayan
20	Cawayanin
21	Cogorin Ibaba
22	Cogorin Ilaya
23	Concepcion
24	Danlagan (Poblacion)
25	De La Paz
26	Del Pilar
27	Del Rosario
28	Esperanza Ibaba
29	Esperanza Ilaya
30	Gomez (Poblacion)
31	Guihay
32	Guinuangan
33	Guites
34	Hondagua
35	Ilayang Ilog A
36	Ilayang Ilog B
37	Inalusan
38	Jongo
39	Lalaguna
40	Lourdes
41	Mabanban
42	Mabini
43	Magallanes
44	Magsaysay
45	Magsaysay (Poblacion)
46	Maguilayan
47	Mahayod-Hayod
48	Mal-ay
49	Mandoog
50	Manguisian
51	Matinik
52	Monteclaro
53	Pamampangin
54	Pansol
55	Peñafrancia
56	Pisipis
57	Poblacion
58	Rizal (Poblacion)
59	Rizal (Rural)
60	Roma
61	Rosario
62	Samat
63	San Andres
64	San Antonio
65	San Francisco A
66	San Francisco B
67	San Isidro
68	San Jose
69	San Lorenzo Ruiz (Poblacion)
70	San Miguel (Dao)
71	San Pedro
72	San Rafael
73	San Roque
74	Silang
75	Sta. Catalina
76	Sta. Elena
77	Sta. Jacobe
78	Sta. Lucia
79	Sta. Maria
80	Sta. Rosa
81	Sta. Teresa
82	Sto. Niño Ibaba
83	Sto. Niño Ilaya
84	Sugod
85	Sumilang
86	Talolong
87	Talolong (Poblacion)
88	Tan-ag Ibaba
89	Tan-ag Ilaya
90	Tocalin
91	Unknown
92	Vegaflor
93	Vergaña
94	Veronica
95	Vigo
96	Villa Aurora
97	Villa Espina
98	Villageda
99	Villahermosa
100	Villamonte
101	Villanacaob
