id	disease_name
0	Abdominal Pain
1	Acute Gastroenteritis
2	Acute Upper Respiratory Infection
3	Allergic Rhinitis
4	Anemia
5	Arthritis
6	Asthma
7	Asthma Exacerbation
8	Body Pain
9	Boil
10	Chest Pain
11	Chicken Pox
12	Common Cold
13	Cough
14	Dehydration
15	Dengue Fever
16	Diabetes
17	Diarrhea
18	Difficulty Breathing
19	Dizziness
20	Ear Pain
21	Epigastric Pain
22	Epilepsy
23	Fever
24	Fungal Infection
25	Gastritis
26	Gastroesophageal Reflux Disease
27	Headache
28	Heat Exhaustion
29	Hyperacidity
30	Hypertension
31	Hypogastric Pain
32	Infected Ear
33	Influenza-like Illness
34	Loose Bowel Movement
35	Lumbar Pain
36	Painful Urination
37	Pneumonia
38	Rashes
39	Scabies
40	Skin Allergy
41	Sore Throat
42	Stomach Pain
43	Tonsillitis
44	Toothache
45	Upper Respiratory Tract Infection
46	Urinary Tract Infection
47	Vomiting
48	Wound
